ward,year,category,location,cost,geometry_type,grammar
2,2025,Unknown,Miscellaneous CDOT Projects (2025) 4715 S WABASH AVE; 4736 S WABASH AVE; 4724 S WABASH AVE,300.0,unknown,multi_location
2,2025,Unknown,Miscellaneous CDOT Projects (2025) 4757 S PRAIRIE AVE,150.0,unknown,unresolvable_text
2,2025,Unknown,Miscellaneous CDOT Projects (2025) 5031 S PRAIRIE AVE,150.0,unknown,unresolvable_text
2,2025,Unknown,Miscellaneous CDOT Projects (2025) 5037 S INDIANA AVE,150.0,unknown,unresolvable_text
2,2025,Unknown,Miscellaneous CDOT Projects (2025) 5111 S MICHIGAN AVE,300.0,unknown,unresolvable_text
2,2025,Unknown,Miscellaneous CDOT Projects (2025) 5121 S WABASH AVE; 5115 S WABASH AVE,300.0,unknown,multi_location
3,2025,Unknown,Miscellaneous CDOT Projects (2025) 5217 S CALUMET AVE; 5219 S CALUMET AVE; 5213 S CALUMET AVE,300.0,unknown,multi_location
3,2025,Unknown,Miscellaneous CDOT Projects (2025) 601 E 45TH ST,150.0,unknown,unresolvable_text
3,2025,Pavement Markings,Pavement Markings Menu (2025) E PERSHING RD & S RHODES AVE,2500.0,point,intersection
3,2025,Sidewalk,2001-2018 S PRAIRIE AVE,11456.16,line,address_range
3,2025,Sidewalk,4100-4112 S DR MARTIN LUTHER KING JR DR,25000.0,line,address_range
3,2025,Sidewalk,4543 S PRINCETON AVE,8430.67,unknown,single_address
3,2025,Sidewalk,4747 S DR MARTIN LUTHER KING JR DR,8527.72,unknown,single_address
3,2025,Sidewalk,ON W 29TH ST FROM S DEARBORN ST (40 W) TO S FEDERAL ST,45978.89,line,street_segment
3,2025,Street Light Residential Staggered Piggy Back,ON E 40TH ST FROM S STATE ST (0 E) TO S PRAIRIE AVE,47000.0,line,street_segment
3,2025,Street Resurfacing,ON E 37TH PL FROM S STATE ST (0 E) TO S WABASH AVE,46065.06,line,street_segment
3,2025,Street Resurfacing,ON E 44TH ST FROM S INDIANA AVE (200 E) TO S DR MARTIN LUTHER KING JR DR,141333.18,line,street_segment
3,2025,Street Resurfacing,ON E 46TH ST FROM S PRAIRIE AVE (300 E) TO S CALUMET AVE,30893.2,line,street_segment
3,2025,Street Resurfacing,ON S CALUMET AVE FROM E 38TH ST (3800 S) TO E PERSHING RD,65792.97,line,street_segment
3,2025,Street Resurfacing,ON S CALUMET AVE FROM E PERSHING RD (3900 S) TO E 41ST ST,139080.47,line,street_segment
3,2025,Street Resurfacing,ON S EVANS AVE FROM E 44TH ST (4400 S) TO E 45TH ST,33477.48,line,street_segment
