ward,year,category,location,cost
4,2012,Street Resurfacing,ON S DORCHESTER AVE FROM E 50 ST (5000 S) TO E HYDE,34476.0
4,2012,Street Resurfacing,ON E 40TH ST FROM S COTTAGE GROVE AV (800 E) TO S,15299.0
4,2012,Street Resurfacing,ON E 42ND ST FROM S VINCENNES AV (515 E) TO S ST,49392.0
4,2012,Street Resurfacing,ON E 37TH ST FROM S ELLIS AV (792 E) TO S LAKE PARK AV,52350.0
4,2012,Street Resurfacing,ON S EVANS AVE FROM E 50 PL (5032 S) TO E 51 ST (5100 S),39743.0
4,2012,Street Resurfacing,ON S ELLIS AVE FROM E 37 ST (3640 S) TO E PERSHING RD,32357.0
4,2012,Street Resurfacing,ON S EAST END AVE FROM E 50 ST (5000 S) TO S HYDE PARK,57448.0
4,2012,Street Resurfacing,ON S KENWOOD AVE FROM E 48 ST (4800 S) TO E 49 ST (4900,38034.0
4,2012,Street Resurfacing,ON E 50TH ST FROM S ELLIS AV (1001 E) TO S GREENWOOD,58378.0
4,2012,Street Resurfacing,ON S CORNELL AVE FROM E HYDE PARK BV (5100 S) TO E 53,78733.0
4,2012,Street Resurfacing,ON S RHODES AVE FROM E 31 PL (3132 S) TO E 33 ST (3300 S),89974.0
4,2012,Street Resurfacing,ON E 49TH ST FROM S DREXEL (W) AV(863 E) TO S ELLIS AV,41730.0
4,2012,Street Light Pole Painting,ON BERKELEY FROM E 41 PL (4132 S) TO E 42 PL (4228 S),800.0
4,2012,Street Light Upgrade,ON HARPER FROM E 53 ST (5242 S) TO Dead End (5430 S),3850.0
4,2012,Street Light Upgrade,ON 41 FROM S DREXEL AV (900 E) TO S ELLIS AV (942 E),700.0
4,2012,Street Light Upgrade,ON FORRESTVILLE FROM E 48 ST (4800 S) TO E 49 ST (4900 S),1400.0
4,2012,Street Light Upgrade,ON CHAMPLAIN FROM E 43 ST (4300 S) TO E 44 ST (4400 S),1400.0
4,2012,Street Light Upgrade,ON S ELLIS AVE FROM E 43 ST (4300 S) TO E 44 ST (4400 S),1200.0
4,2012,Chicago Park District,Sumac Park Playground - 4201 S. Champlain,150000.0
5,2012,Miscellaneous Other,ON E 68TH ST FROM S STONY ISLAND AVE E (1600 E) TO S,25000.0
5,2012,Miscellaneous Other,ON E 68TH ST FROM S STONY ISLAND AVE E (1600 E) TO S planter box,12595.0
5,2012,Miscellaneous Other,"ON E 68TH ST FROM S STONY ISLAND AVE E (1600 E) TO S Lights, furniture",454404.0
5,2012,Street Light Residential,ON E 68TH ST FROM S CREGIER AVE (1800 E) TO S STONY,250000.0
5,2012,Street Light Residential,ON ELLIS FROM E 71 ST (7100 S) TO E 73 ST (7300 S),144000.0
5,2012,Street Light Residential,ON DORCHESTER FROM E 67 ST (6700 S) TO E 71 ST (7100 S),288000.0
5,2012,Street Light Residential,ON EAST END FROM E 69 ST (6900 S) TO E 71 ST (7100 S),144000.0
5,2012,Street Light Upgrade,ON 60 FROM S BLACKSTONE AV (1436 E) TO S STONY,2000.0
6,2012,Miscellaneous Other,E 83RD ST & S DR MARTIN LUTHER KING JR DR crosswalk markings,1166.0
6,2012,Street Resurfacing,ON E 85TH ST FROM S STATE ST (0 E) TO S WABASH AV (44,38833.0
6,2012,Street Light Residential,ON 66 FROM S UNION AV (700 W) TO S HALSTED ST (800 W),64000.0
6,2012,Street Light Residential,ON UNION FROM W 66 ST (6600 S) TO W MARQUETTE RD,64000.0
6,2012,Street Light Residential,ON ST LAWRENCE FROM E 71 ST (7100 S) TO E 87 ST (8700 S),1152000.0
7,2012,Curb & Gutter,ON S CHAPPEL AVE FROM E 97 ST (9700 S) TO E 98 ST (9800,100076.0
7,2012,Curb & Gutter,ON S PAXTON AVE FROM E 90 ST (9000 S) TO E 89 ST (8900 S),150638.0
7,2012,Curb & Gutter,ON E 74TH ST FROM S OGLESBY AV (2332 E) TO S OGLESBY,3657.0
7,2012,Curb & Gutter,ON CRANDON FROM E 96 ST (9540 S) TO E 97 ST (9713 S),68566.0
7,2012,Curb & Gutter,ON S PHILLIPS AVE FROM E 90 ST (9000 S) TO E 91 ST (9100 S),175674.0
7,2012,Curb & Gutter,ON S PAXTON AVE FROM E 101 ST (10100 S) TO E 100 ST,183815.0
7,2012,Curb & Gutter,ON S OGLESBY AVE FROM E 95 ST (9500 S) TO E 96 ST (9540,5452.0
7,2012,Curb & Gutter,ON S CRANDON AVE FROM E 96 ST (9540 S) TO E 97 ST (9713,89581.0
7,2012,Curb & Gutter,ON S OGLESBY AVE FROM E 74 ST (7400 S) TO E 73 ST (7300,121057.0
7,2012,Sidewalk,ON S EUCLID AVE FROM E 95 ST (9500 S) TO E 96 ST (9600 S),1768.0
7,2012,Sidewalk,ON E 79TH ST FROM S EXCHANGE (W) AV(2918 E) TO S,17046.0
7,2012,Sidewalk,ON S LUELLA AVE FROM E 73 ST (7300 S) TO E 74 ST (7400 S),2739.0
7,2012,Sidewalk,ON S SAGINAW AVE FROM E 93 ST (9300 S) TO E 94 ST (9400,7658.0
7,2012,Sidewalk,ON S ESSEX AVE FROM E 83 ST (8300 S) TO E 84 ST (8400 S),30458.0
7,2012,Sidewalk,ON S ESCANABA AVE FROM E 79 ST (7900 S) TO E 80 ST (8000,6279.0
7,2012,Sidewalk,ON EXCHANGE FROM E 75 ST (7470 S) TO E 76 ST (7570 S),6668.0
7,2012,Street Resurfacing,ON E 74TH ST FROM S COLES AV (2646 E) TO S SOUTH,42840.0
7,2012,Street Resurfacing,ON S CRANDON AVE FROM E 76 ST (7600 S) TO E 78 ST (7800,128952.0
7,2012,Street Resurfacing,ON S KINGSTON AVE FROM E 81 ST (8100 S) TO E 82 ST (8200,75601.0
7,2012,Street Resurfacing,ON S CHAPPEL AVE FROM E 97 ST (9700 S) TO E 98 ST (9800,41597.0
7,2012,Street Resurfacing,ON S CRANDON AVE FROM E 100 ST (10000 S) TO E 101 ST,26510.0
7,2012,Street Speed Hump,ON S BURNHAM AVE FROM E 77 ST (7700 S) TO E 78 ST (7800,3700.0
7,2012,Street Speed Hump,ON E CHELTENHAM PL FROM S COLES AV (3032 E) TO S,1850.0
7,2012,Street Speed Hump,ON S COLES AVE FROM E 72 ST (7130 S) TO E 73 ST (7231 S),3700.0
7,2012,Street Speed Hump,ON S PHILLIPS AVE FROM E 92 ST (9200 S) TO E 93 ST (9300 S),3700.0
7,2012,Street Speed Hump,ON S BURNHAM AVE FROM E 78 ST (7800 S) TO E 79 ST (7900,3700.0
7,2012,Street Speed Hump,ON S KINGSTON AVE FROM E 73 ST (7300 S) TO E 75 ST (7500,7400.0
7,2012,Street Speed Hump,ON E 89TH ST FROM S CRANDON AV (2300 E) TO S OGLESBY,1850.0
7,2012,Street Speed Hump,ON S CRANDON AVE FROM E 100 ST (10000 S) TO E 101 ST,3700.0
7,2012,Street Speed Hump,ON S LUELLA AVE FROM E 75 ST (7500 S) TO E 76 ST (7600 S),3700.0
8,2012,Alley Resurfacing,W 75TH ST & W 76TH ST & S RIDGELAND AVE & S CREGIER,3257.0
8,2012,Bollard,ON S CONSTANCE AVE FROM 7500 S TO E 75 ST (7500 S),2520.0
8,2012,Curb & Gutter,ON S UNIVERSITY AVE FROM E 80 ST (8000 S) TO E 81 ST,5436.0
8,2012,Curb & Gutter,ON E 83RD ST FROM S CRANDON AV (2300 E) TO S OGLESBY,57537.0
8,2012,Curb & Gutter,ON S BENNETT AVE FROM E 77 ST (7700 S) TO E 78 ST (7800,10035.0
8,2012,Curb & Gutter,ON S CONSTANCE AVE FROM E 85 ST (8500 S) TO E 86 ST,3767.0
8,2012,Curb & Gutter,ON E 86TH ST FROM S DANTE AV (1433 E) TO S,22199.0
8,2012,Sidewalk,ON S CREGIER AVE FROM E 85 ST (8500 S) TO E 86 ST (8600 S),28180.0
8,2012,Sidewalk,ON S DREXEL AVE FROM E 98 ST (9800 S) TO E 99 ST (9900 S),37672.0
8,2012,Sidewalk,ON S EUCLID AVE FROM E 74 ST (7400 S) TO E 75 ST (7500 S),30090.0
8,2012,Sidewalk,ON S EAST END AVE FROM E 93 ST (9300 S) TO E 94 ST (9400,19180.0
8,2012,Sidewalk,ON S OGLESBY AVE FROM E 88 ST (8800 S) TO E 89 ST (8900,20831.0
8,2012,Sidewalk,ON S AVALON AVE FROM E 97 (N) ST(9656 S) TO E 98 ST,2414.0
8,2012,Sidewalk,ON S MARYLAND AVE FROM E 98 ST (9800 S) TO E 99 ST,94743.0
8,2012,Sidewalk,ON E 74TH ST FROM S BALDWIN AV (1900 E) TO S JEFFERY,2343.0
8,2012,Sidewalk,ON S JEFFERY BLVD FROM E 85 ST (8500 S) TO E 86 ST (8600,71948.0
8,2012,Sidewalk,ON S BLACKSTONE AVE FROM E 81 ST (8100 S) TO E 82 ST,12213.0
